TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
12.1775,104.8997
11.6125,104.7597
11.4331,104.8044
11.9278,105.4483
12.155,104.8806
11.4478,104.9358
11.6258,104.7697
11.6731,105.1139
12.1525,104.8758
12.0675,105.0781
11.4631,105.3475
12.0656,105.0892
14.0572,106.4375
11.7508,104.7853
11.7192,104.9219
11.51,105.3247
13.5528,106.4344
11.3933,105.2661
11.2725,105.0319
12.1469,104.8778
11.5275,104.9817
11.1936,105.2472
11.1619,105.0147
11.4244,105.0203
12.155,104.8806
11.3794,104.9342
11.4378,104.8167
11.4778,104.9972
11.4578,105.1881
11.6703,105.1156
11.1908,104.805
11.6694,105.1258
11.3233,105.2447
11.5167,104.9953
11.5889,104.8128
11.4394,105.3558
11.4806,104.9797
11.5581,104.6825
12.2356,105.1544
11.3583,105.2519
11.4597,104.8956
11.3981,104.8681
11.3464,104.8369
12.8425,104.8967
11.5881,104.8156
11.6686,105.1211
11.4297,105.2344
11.0261,105.4467
11.4894,105.0531
12.0483,105.0753
11.4511,104.7831
11.4578,105.0119
11.7236,104.7844
11.9444,104.785
11.6892,104.7419
13.4592,105.9453
11.6069,104.7614
11.6106,104.8267
11.3239,105.2447
11.7236,104.7844
11.4814,104.8075
12.1497,104.8869
11.4008,104.8669
11.4356,105.2339
11.3267,105.2475
11.5481,104.7569
11.4533,104.8178
12.0528,105.0644
11.4814,104.8075
11.3908,105.2619
11.4478,104.9303
11.4389,104.8889
11.6097,104.8275
11.2442,104.6361
11.5569,104.6744
11.7019,104.7686
12.145,104.8364
11.3908,105.2619
11.4658,104.7736
11.4658,104.9128
11.4631,105.1789
11.4706,104.9844
13.7058,107.4394
11.4622,104.78
11.4442,105.21
12.0592,105.0828
11.4533,104.835
11.5989,104.7744
12.0619,105.0653
12.6967,104.8497
11.4772,105.0044
11.4289,104.8111
11.5103,105.1239
11.3856,104.8669
13.3864,106.0853
11.9278,105.4483
11.5781,104.7275
11.5383,104.7589
11.4333,104.8039
11.4392,104.8844
11.435,104.7589
11.2967,104.7644
11.705,104.7422
11.5103,105.1247
11.2044,105.2747
11.6892,104.7419
11.9847,105.3914
11.4839,105.0964
11.4486,104.8625
11.4569,104.8928
11.3619,105.2714
11.3464,104.8369
11.4686,104.7781
11.4775,104.7525
11.4622,104.7631
11.3536,105.3244
11.4431,105.2125
11.3736,105.2236
11.0561,105.195
11.4422,104.7947
12.8475,104.8997
11.4569,104.8661
12.1542,104.8742
11.6114,104.7386
11.4389,104.9244
11.4389,104.9247
11.5889,104.8092
11.6694,105.1156
11.5419,104.7578
11.3389,104.3583
11.4742,105.1383
11.4469,104.8258
11.4125,105.2156
12.1453,104.8758
12.1478,104.8778
11.5428,104.7522
11.4325,104.8342
11.2986,104.7369
11.6956,104.7753
11.2914,104.8478
11.4694,105.1331
12.0572,105.3639
