TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
19.1392,105.3414
16.1161,107.3003
14.1842,107.9556
21.0919,106.7994
9.9689,105.4014
11.5828,106.5989
16.2094,107.4353
11.5753,106.6436
18.5772,105.6636
11.6069,106.61
16.3586,107.4164
11.5772,106.6161
9.8603,105.415
21.7381,106.6961
18.8692,105.3086
12.0519,105.1544
16.4531,106.5017
16.6822,107.0689
14.4036,108.0406
17.8097,106.3636
17.6828,106.4361
15.4522,107.8144
18.3603,105.6164
17.6764,106.4247
9.6803,105.3156
17.5297,106.4575
16.7528,107.1633
15.35,106.7619
15.5669,105.9067
17.6322,106.5328
9.5781,105.3828
11.755,103.1644
14.1678,109.0828
18.6842,105.7725
14.4639,107.9917
10.1806,106.5822
15.6072,105.7883
14.3019,108.1308
16.2778,107.3725
16.3783,107.4278
19.1167,105.6569
16.3683,107.4353
14.1258,109.0506
18.0386,105.8542
17.6294,106.2792
10.9278,106.2675
11.6317,106.7339
18.4547,105.7794
11.6275,106.6542
17.9208,106.5022
17.8128,106.1778
17.6756,106.4258
10.9158,105.8722
18.975,105.6056
17.2769,106.6531
17.4972,106.4694
12.0169,108.9008
16.6281,107.1564
19.4928,105.2172
14.3836,107.9397
19.3233,105.1867
21.0439,105.7586
11.5736,106.6181
11.755,103.1644
17.7642,105.9511
16.4347,106.4669
15.0603,107.7469
17.9261,106.5061
16.7708,106.87
12.8064,105.0222
16.7153,107.1903
18.515,105.5592
17.7592,106.3642
18.6733,105.7731
17.9019,106.4739
14.5011,107.9042
11.755,103.1644
16.6839,106.8861
9.5678,105.5367
17.425,106.4689
17.3242,106.6281
17.2706,106.6606
11.7869,107.0331
14.2242,109.1294
11.8181,105.9017
18.6061,105.6239
17.8742,106.4425
16.3508,107.1458
14.1858,109.0797
16.6511,107.1061
18.5567,105.6778
15.6578,108.1361
11.6161,106.6017
19.8608,105.6806
14.4517,108.1106
18.9653,105.5733
14.1925,109.0075
16.3644,107.1236
11.9408,106.565
11.755,103.1644
9.6686,105.1294
11.5842,106.6739
19.2539,105.7375
14.1719,109.0289
18.7847,105.7403
17.9819,106.4778
17.2331,106.7214
14.3936,108.1761
20.8919,105.5789
16.6717,107.3089
19.3097,105.4761
20.2647,106.13
11.4808,106.5589
16.6958,107.1431
19.1736,105.6372
9.815,105.2983
10.6497,105.8869
9.8639,105.2928
20.9278,106.7078
14.2072,107.9947
16.5908,106.2375
17.0625,107.0947
11.6369,106.6256
14.4592,107.9961
15.9267,108.1919
11.6069,106.61
16.2122,107.2686
16.6189,107.1564
11.755,103.1644
18.2614,106.1117
16.2842,107.2289
19.1981,102.9731
11.5692,106.5914
17.3878,106.6053
14.1858,109.0797
18.7575,105.76
16.9978,106.6422
16.1881,107.32
18.4775,105.7161
10.5842,107.2375
17.5306,106.4575
9.4297,105.3297
20.3611,105.9258
16.6686,107.1756
11.755,103.1644
11.6006,106.63
17.645,106.3822
20.5475,105.9186
