TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
16.7564,106.1336
16.7375,106.2703
11.9206,105.3261
15.8414,106.3261
16.5994,106.2508
18.2481,104.7228
15.6275,107.0067
16.3125,107.1856
16.8047,106.2278
17.6214,105.74
11.1986,104.1142
16.3314,105.9719
16.385,107.15
16.6117,106.4233
16.8206,106.065
16.9647,107.0222
19.2311,102.9497
19.3025,102.9469
17.2033,105.6161
15.55,106.855
16.5008,106.8553
16.8161,106.8667
12.2075,106.4453
15.4425,107.4558
17.4081,105.7431
16.6028,106.4222
17.4161,105.7769
15.4614,106.9864
16.5581,106.3292
12.6633,104.7144
16.5569,106.8408
16.3133,106.9069
14.6328,106.7272
11.2872,105.6031
19.3397,102.9569
16.595,106.2375
16.8161,106.8667
16.5422,105.9656
17.4053,105.7786
15.96,106.6783
14.6297,107.725
16.7528,106.2722
16.5033,106.4047
17.2047,106.1514
15.7828,106.8067
19.3528,103.0825
19.1664,102.9733
16.8264,106.24
16.6347,106.6278
16.3881,106.4806
16.7158,106.8603
16.8956,106.0261
13.4428,107.6186
15.4422,107.4558
16.5844,106.4436
19.5381,103.3747
11.2594,104.1936
14.0681,109.0364
19.1589,102.9506
16.3172,106.9836
16.9547,105.9828
16.4361,106.4853
10.8136,106.1519
17.1989,105.6208
10.5664,104.4744
16.6439,106.2183
11.8989,105.7778
16.7561,106.0369
16.2983,106.6531
16.8369,106.5319
17.2806,105.5175
16.5756,106.2425
16.0678,106.6642
14.5497,107.6061
13.5586,105.9686
17.6503,105.7714
16.4458,106.4544
16.3361,106.5478
15.0372,107.2
16.0039,108.0286
16.9458,105.85
16.8903,106.5475
16.7667,106.2489
16.8978,106.3747
14.6483,106.7014
16.8369,106.5319
14.9339,107.1506
16.2694,106.5192
15.4422,107.4558
16.2978,107.2108
17.6089,105.7475
16.3661,106.6481
15.3542,107.0394
13.0125,109.1797
16.6675,106.1911
16.2756,107.4211
16.2328,106.9183
12.0994,105.5606
19.6767,103.1425
16.4453,106.8033
16.2417,106.8314
16.2783,107.4183
11.1267,104.1758
16.9636,105.8764
11.8356,106.3047
16.1803,106.0292
15.1725,106.16
15.4586,106.9753
10.7339,107.0383
16.7967,106.1778
14.6553,107.3786
16.4992,106.355
13.4478,108.0933
15.1014,107.1039
15.4139,106.6078
16.3639,107.09
16.5353,106.94
12.2269,106.3194
16.4678,106.4467
16.4497,106.4772
16.4764,106.3967
16.8361,106.2364
15.4425,107.4558
16.6242,106.4553
16.9039,105.85
16.4703,107.2061
16.2353,106.8386
14.6067,107.6867
15.4728,107.0089
12.2575,105.9592
14.6981,108.0256
16.3758,107.1658
16.1203,107.3172
15.34,107.1675
14.1569,108.9931
11.9911,105.8286
14.6628,106.4503
16.6594,106.1808
16.905,106.4883
16.2006,107.7108
15.4378,107.3361
11.8378,105.0689
14.6589,107.3772
14.6144,106.6639
16.4853,106.6733
16.0772,106.5989
16.4578,106.4728
16.3681,107.1303
15.095,107.1094
12.1003,105.5522
16.3236,107.33
15.3531,107.0572
14.6581,107.6056
19.2517,103.0569
16.9758,105.9817
16.3944,107.1053
11.8267,105.5411
13.1175,106.17
16.8853,105.8544
16.2792,105.9642
15.6136,106.8358
16.8197,106.5253
16.8572,105.9056
17.2669,105.5175
19.6003,103.4667
17.1675,106.0725
16.2197,106.8544
16.7058,106.8647
12.0375,106.0236
16.2794,107.3164
16.8678,105.9314
16.5967,106.3922
16.2642,107.3864
16.6514,106.3447
16.2422,106.8669
12.0319,104.7042
16.9989,105.9283
17.5664,105.6833
11.1917,104.1325
15.8411,106.7642
16.9683,105.9661
14.6828,106.8158
16.2792,105.9642
11.5453,105.8364
17.1469,105.8656
16.3828,106.4817
19.4558,103.2689
15.8625,108.1994
11.9542,105.7944
14.6753,107.5139
16.5722,106.0781
11.2186,104.1178
16.7636,106.1308
11.7914,106.2614
13.9272,108.9542
16.2878,107.6764
16.9858,105.7422
16.6314,106.5969
17.0319,105.9656
16.2722,106.7444
16.7825,106.7847
16.8853,106.0094
