NUM_MISSIONS,DATE
831,1966-09-17
862,1966-09-18
898,1966-09-19
857,1966-09-20
898,1966-09-21
893,1966-09-22
812,1966-09-23
761,1966-09-24
812,1966-09-25
845,1966-09-26
1002,1966-09-27
881,1966-09-28
1008,1966-09-29
657,1966-09-30
1012,1966-10-01
1205,1966-10-02
1174,1966-10-03
1102,1966-10-04
776,1966-10-05
1029,1966-10-06
1152,1966-10-07
985,1966-10-08
944,1966-10-09
1200,1966-10-10
925,1966-10-11
1012,1966-10-12
1044,1966-10-13
1045,1966-10-14
786,1966-10-15
800,1966-10-16
607,1966-10-17
593,1966-10-18
682,1966-10-19
658,1966-10-20
693,1966-10-21
488,1966-10-22
436,1966-10-23
561,1966-10-24
595,1966-10-25
671,1966-10-26
849,1966-10-27
706,1966-10-28
747,1966-10-29
748,1966-10-30
785,1966-10-31
960,1966-11-01
1119,1966-11-02
1161,1966-11-03
1112,1966-11-04
1024,1966-11-05
1008,1966-11-06
1123,1966-11-07
1027,1966-11-08
1043,1966-11-09
893,1966-11-10
910,1966-11-11
662,1966-11-12
918,1966-11-13
761,1966-11-14
605,1966-11-15
532,1966-11-16
705,1966-11-17
705,1966-11-18
798,1966-11-19
791,1966-11-20
714,1966-11-21
878,1966-11-22
886,1966-11-23
1107,1966-11-24
476,1966-11-25
524,1966-11-26
559,1966-11-27
696,1966-11-28
730,1966-11-29
648,1966-11-30
662,1966-12-01
692,1966-12-02
673,1966-12-03
951,1966-12-04
856,1966-12-05
787,1966-12-06
864,1966-12-07
844,1966-12-08
833,1966-12-09
901,1966-12-10
1059,1966-12-11
1055,1966-12-12
869,1966-12-13
790,1966-12-14
851,1966-12-15
821,1966-12-16
810,1966-12-17
980,1966-12-18
1154,1966-12-19
1115,1966-12-20
1109,1966-12-21
756,1966-12-22
629,1966-12-23
166,1966-12-24
188,1966-12-25
747,1966-12-26
690,1966-12-27
620,1966-12-28
654,1966-12-29
588,1966-12-30
156,1966-12-31
77,1967-01-01
546,1967-01-02
696,1967-01-03
731,1967-01-04
809,1967-01-05
915,1967-01-06
818,1967-01-07
806,1967-01-08
893,1967-01-09
772,1967-01-10
822,1967-01-11
1058,1967-01-12
996,1967-01-13
789,1967-01-14
839,1967-01-15
813,1967-01-16
930,1967-01-17
934,1967-01-18
1081,1967-01-19
1124,1967-01-20
1117,1967-01-21
809,1967-01-22
811,1967-01-23
875,1967-01-24
982,1967-01-25
1134,1967-01-26
1021,1967-01-27
1234,1967-01-28
1098,1967-01-29
934,1967-01-30
1007,1967-01-31
1015,1967-02-01
1055,1967-02-02
1225,1967-02-03
1228,1967-02-04
1223,1967-02-05
1303,1967-02-06
1148,1967-02-07
350,1967-02-08
300,1967-02-09
321,1967-02-10
317,1967-02-11
876,1967-02-12
1083,1967-02-13
952,1967-02-14
1205,1967-02-15
1177,1967-02-16
1263,1967-02-17
1141,1967-02-18
1231,1967-02-19
1301,1967-02-20
1296,1967-02-21
1177,1967-02-22
1189,1967-02-23
1182,1967-02-24
1047,1967-02-25
907,1967-02-26
1005,1967-02-27
1036,1967-02-28
1113,1967-03-01
1176,1967-03-02
1100,1967-03-03
944,1967-03-04
918,1967-03-05
798,1967-03-06
820,1967-03-07
937,1967-03-08
937,1967-03-09
682,1967-03-10
804,1967-03-11
961,1967-03-12
1082,1967-03-13
1165,1967-03-14
866,1967-03-15
1013,1967-03-16
1001,1967-03-17
862,1967-03-18
1013,1967-03-19
949,1967-03-20
955,1967-03-21
886,1967-03-22
969,1967-03-23
943,1967-03-24
906,1967-03-25
1039,1967-03-26
1100,1967-03-27
1140,1967-03-28
1046,1967-03-29
1123,1967-03-30
1231,1967-03-31
1126,1967-04-01
1011,1967-04-02
1072,1967-04-03
936,1967-04-04
958,1967-04-05
1030,1967-04-06
1070,1967-04-07
1194,1967-04-08
1126,1967-04-09
1146,1967-04-10
1076,1967-04-11
948,1967-04-12
813,1967-04-13
1091,1967-04-14
1160,1967-04-15
1139,1967-04-16
1111,1967-04-17
1103,1967-04-18
1218,1967-04-19
1018,1967-04-20
1279,1967-04-21
1215,1967-04-22
1118,1967-04-23
929,1967-04-24
1079,1967-04-25
1142,1967-04-26
1155,1967-04-27
1240,1967-04-28
1114,1967-04-29
1222,1967-04-30
2274,1967-05-01
2055,1967-05-02
2409,1967-05-03
2137,1967-05-04
2344,1967-05-05
1568,1967-05-06
2261,1967-05-07
2237,1967-05-08
2277,1967-05-09
2516,1967-05-10
2443,1967-05-11
2401,1967-05-12
2090,1967-05-13
2352,1967-05-14
2293,1967-05-15
2657,1967-05-16
2486,1967-05-17
2361,1967-05-18
2321,1967-05-19
2480,1967-05-20
2323,1967-05-21
2401,1967-05-22
887,1967-05-23
2420,1967-05-24
2246,1967-05-25
2469,1967-05-26
2102,1967-05-27
2139,1967-05-28
2154,1967-05-29
2113,1967-05-30
2101,1967-05-31
1062,1967-06-01
1067,1967-06-02
1055,1967-06-03
785,1967-06-04
840,1967-06-05
824,1967-06-06
1072,1967-06-07
906,1967-06-08
969,1967-06-09
1080,1967-06-10
1123,1967-06-11
1027,1967-06-12
1076,1967-06-13
1173,1967-06-14
1119,1967-06-15
1307,1967-06-16
1173,1967-06-17
1266,1967-06-18
1296,1967-06-19
1245,1967-06-20
1171,1967-06-21
1276,1967-06-22
1299,1967-06-23
1151,1967-06-24
1167,1967-06-25
1038,1967-06-26
1064,1967-06-27
1170,1967-06-28
1122,1967-06-29
919,1967-06-30
1034,1967-07-01
1114,1967-07-02
1058,1967-07-03
1146,1967-07-04
1137,1967-07-05
1133,1967-07-06
1003,1967-07-07
1067,1967-07-08
1008,1967-07-09
933,1967-07-10
1105,1967-07-11
1064,1967-07-12
1160,1967-07-13
1022,1967-07-14
1057,1967-07-15
1031,1967-07-16
1043,1967-07-17
1098,1967-07-18
1079,1967-07-19
1032,1967-07-20
1131,1967-07-21
957,1967-07-22
1292,1967-07-23
1210,1967-07-24
1136,1967-07-25
1205,1967-07-26
1138,1967-07-27
1059,1967-07-28
1016,1967-07-29
940,1967-07-30
1035,1967-07-31
1037,1967-08-01
1114,1967-08-02
1252,1967-08-03
1178,1967-08-04
1096,1967-08-05
1254,1967-08-06
1333,1967-08-07
1022,1967-08-08
1073,1967-08-09
1128,1967-08-10
1272,1967-08-11
1227,1967-08-12
1059,1967-08-13
1062,1967-08-14
1252,1967-08-15
899,1967-08-16
1122,1967-08-17
1131,1967-08-18
1392,1967-08-19
1127,1967-08-20
871,1967-08-21
1453,1967-08-22
1219,1967-08-23
1139,1967-08-24
888,1967-08-25
793,1967-08-26
1104,1967-08-27
1145,1967-08-28
1190,1967-08-29
1079,1967-08-30
1079,1967-08-31
2364,1967-09-01
2404,1967-09-02
2283,1967-09-03
2167,1967-09-04
1790,1967-09-05
1653,1967-09-06
2158,1967-09-07
1949,1967-09-08
2157,1967-09-09
2152,1967-09-10
2121,1967-09-11
1760,1967-09-12
1802,1967-09-13
1354,1967-09-14
1489,1967-09-15
1463,1967-09-16
1485,1967-09-17
1590,1967-09-18
1594,1967-09-19
1963,1967-09-20
2113,1967-09-21
1711,1967-09-22
1825,1967-09-23
1460,1967-09-24
1891,1967-09-25
2353,1967-09-26
2398,1967-09-27
2309,1967-09-28
2268,1967-09-29
2032,1967-09-30
841,1967-10-01
1056,1967-10-02
867,1967-10-03
981,1967-10-04
1174,1967-10-05
1216,1967-10-06
1106,1967-10-07
750,1967-10-08
895,1967-10-09
971,1967-10-10
963,1967-10-11
1188,1967-10-12
1315,1967-10-13
1215,1967-10-14
889,1967-10-15
1091,1967-10-16
1094,1967-10-17
1077,1967-10-18
838,1967-10-19
988,1967-10-20
1177,1967-10-21
1157,1967-10-22
1183,1967-10-23
1196,1967-10-24
1320,1967-10-25
1245,1967-10-26
1138,1967-10-27
1231,1967-10-28
1225,1967-10-29
1326,1967-10-30
1249,1967-10-31
10,1967-11-01
8,1967-11-02
8,1967-11-03
10,1967-11-04
12,1967-11-05
2,1967-11-06
10,1967-11-07
12,1967-11-08
8,1967-11-09
9,1967-11-10
12,1967-11-11
8,1967-11-12
5,1967-11-13
4,1967-11-14
10,1967-11-15
6,1967-11-16
6,1967-11-17
10,1967-11-18
10,1967-11-19
7,1967-11-20
6,1967-11-21
10,1967-11-22
6,1967-11-23
9,1967-11-24
4,1967-11-25
12,1967-11-26
8,1967-11-27
10,1967-11-28
7,1967-11-29
8,1967-11-30
995,1967-12-01
903,1967-12-02
1154,1967-12-03
1246,1967-12-04
1202,1967-12-05
1125,1967-12-06
1113,1967-12-07
1058,1967-12-08
1231,1967-12-09
1022,1967-12-10
975,1967-12-11
1024,1967-12-12
941,1967-12-13
1138,1967-12-14
1190,1967-12-15
1260,1967-12-16
1280,1967-12-17
1214,1967-12-18
1310,1967-12-19
1283,1967-12-20
1167,1967-12-21
1233,1967-12-22
1395,1967-12-23
1031,1967-12-24
817,1967-12-25
1430,1967-12-26
1345,1967-12-27
1286,1967-12-28
1034,1967-12-29
1081,1967-12-30
935,1967-12-31
473,1968-01-01
1383,1968-01-02
1187,1968-01-03
1442,1968-01-04
1312,1968-01-05
1262,1968-01-06
1070,1968-01-07
1144,1968-01-08
1257,1968-01-09
1199,1968-01-10
1348,1968-01-11
1370,1968-01-12
1146,1968-01-13
1295,1968-01-14
1350,1968-01-15
1347,1968-01-16
1325,1968-01-17
1457,1968-01-18
1454,1968-01-19
1325,1968-01-20
1307,1968-01-21
1532,1968-01-22
1261,1968-01-23
1304,1968-01-24
1356,1968-01-25
1387,1968-01-26
1174,1968-01-27
1244,1968-01-28
1408,1968-01-29
1287,1968-01-30
1294,1968-01-31
1435,1968-02-01
1272,1968-02-02
1281,1968-02-03
1254,1968-02-04
1268,1968-02-05
1281,1968-02-06
1275,1968-02-07
1216,1968-02-08
1243,1968-02-09
1185,1968-02-10
1215,1968-02-11
1226,1968-02-12
1210,1968-02-13
1237,1968-02-14
1185,1968-02-15
1191,1968-02-16
1250,1968-02-17
1295,1968-02-18
1290,1968-02-19
1173,1968-02-20
1126,1968-02-21
1236,1968-02-22
1157,1968-02-23
1070,1968-02-24
1068,1968-02-25
1172,1968-02-26
1409,1968-02-27
1596,1968-02-28
2663,1968-02-29
1157,1968-03-01
1143,1968-03-02
1234,1968-03-03
1217,1968-03-04
1159,1968-03-05
1454,1968-03-06
1400,1968-03-07
1341,1968-03-08
1276,1968-03-09
1246,1968-03-10
1421,1968-03-11
1291,1968-03-12
1233,1968-03-13
1538,1968-03-14
1533,1968-03-15
1422,1968-03-16
1472,1968-03-17
1200,1968-03-18
1409,1968-03-19
1465,1968-03-20
1402,1968-03-21
1324,1968-03-22
1261,1968-03-23
1236,1968-03-24
1231,1968-03-25
1203,1968-03-26
1297,1968-03-27
1310,1968-03-28
1153,1968-03-29
1154,1968-03-30
980,1968-03-31
995,1968-04-01
1220,1968-04-02
