TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
14.2206,104.7311
11.8267,104.8089
11.445,104.7908
11.2153,104.7592
11.3806,104.5325
11.4542,104.7864
11.3275,105.2989
11.6947,104.865
12.0161,104.69
11.6803,104.7678
11.74,104.9861
11.3567,104.8875
11.5119,105.3303
11.2378,105.3692
11.455,104.8194
13.7242,107.4044
10.8839,104.5258
10.5664,104.0867
11.4103,104.8378
13.8661,104.8306
11.0244,104.7767
11.4336,104.8178
12.0344,104.7003
11.5233,104.5175
11.4514,104.7717
11.3908,105.2553
11.4594,104.7936
11.6964,104.7897
11.1819,104.8167
11.3772,105.0036
11.4261,105.2108
10.9486,104.7314
11.4133,105.1044
11.4822,105.1083
10.8842,104.7683
11.7825,104.8769
12.8631,104.6275
11.3989,104.7433
11.7681,105.0267
11.5572,104.5722
11.6386,104.7239
11.3717,104.7581
11.4569,104.9036
11.4397,105.2172
11.4081,105.2531
11.5325,104.5497
10.9467,104.795
11.4253,105.0989
11.9733,105.0192
10.8753,104.8656
11.4533,104.8617
11.4614,104.8
11.4469,104.8864
11.3867,104.8417
11.6664,104.5817
11.8314,104.82
10.6681,104.1542
11.2144,105.3297
11.4067,105.2411
11.2669,104.9772
11.3861,105.2642
12.8433,104.9006
11.2181,105.3206
11.6694,104.7825
12.4033,104.6897
11.7236,105.0203
11.3094,105.2961
12.0592,104.6556
11.4225,105.0597
11.9319,105.655
11.5017,104.4939
11.7656,104.5783
11.37,105.2383
11.1311,105.2464
13.2139,104.1969
11.5978,104.7139
11.4533,104.8047
11.37,105.0019
11.4758,104.9219
11.6658,105.1267
11.7,104.755
11.6394,104.7211
11.3203,104.8186
12.3672,104.4728
11.4278,105.3456
12.1622,105.1342
11.3628,105.2703
11.455,104.8056
11.3003,104.8267
13.7006,107.1278
11.4369,104.9011
11.4569,104.8781
11.5525,104.5881
11.2064,105.2583
11.4181,104.8394
11.7,104.755
11.3664,104.8669
11.3447,105.2475
11.3953,105.2614
11.1892,105.2381
11.4053,104.8303
11.3817,105.2633
11.3775,104.5844
11.4506,104.8533
14.1139,107.1947
11.3797,105.3217
12.1497,104.885
11.6947,104.8917
11.4783,104.6158
11.3939,105.2686
11.4389,105.0622
11.4478,104.9286
11.445,104.8286
11.5111,105.3264
11.4931,104.2306
11.4342,104.635
11.4633,104.9036
11.4586,105.0294
11.2819,104.7761
11.3147,105.3081
11.7825,104.8769
11.4486,104.795
11.4597,104.9294
11.39,105.2475
11.4506,104.8019
11.3972,105.2614
11.6403,104.71
11.4525,104.8728
11.5119,105.3328
11.6278,104.7275
11.9233,105.2986
11.4425,104.8331
11.7272,104.6889
11.3692,105.2547
11.7456,105.0072
11.4614,104.8
11.455,104.7864
11.3556,105.275
11.4669,105.0139
11.4061,105.2403
11.5208,104.5047
11.4317,104.9
11.3628,105.2703
11.455,104.8156
11.4025,104.8661
11.6658,105.1267
11.4642,104.8708
11.6728,104.1961
11.4442,104.8147
11.4558,104.7983
11.4069,105.2603
11.4467,104.7908
11.9361,104.7942
11.3736,105.2667
11.5147,105.3303
11.6831,104.7989
11.4561,104.9028
11.0244,104.7803
11.45,104.8408
11.6356,104.5467
11.5281,104.6533
10.8781,104.7611
13.6,106.8192
11.3131,105.2256
12.0156,104.6894
11.4022,104.5728
10.8997,104.7519
11.4669,105.0183
11.6378,104.7203
11.455,105.1697
11.6511,104.7339
11.37,105.0019
11.4331,104.8125
11.4531,105.3558
11.4569,104.8092
11.6928,104.8
11.8811,104.9614
11.7572,105.0442
11.6911,104.9017
11.4225,104.7928
11.6069,104.81
11.5208,104.5047
11.0336,104.7986
12.2911,105.5775
12.0656,104.715
11.0797,105.1942
12.0692,105.0781
11.9525,104.8311
13.3242,104.2094
11.8267,104.8089
11.2661,104.9772
11.4433,104.8892
11.445,104.7908
11.6467,104.7797
11.3825,105.2631
11.4478,104.7681
12.7094,104.8075
11.4214,104.6744
11.7336,104.9725
11.4647,105.3411
13.6072,106.8211
11.9597,104.7758
13.7022,107.1289
11.4369,105.1933
11.3844,105.0064
11.5944,104.7356
12.2536,104.7986
11.1603,104.7994
11.4414,104.8394
11.1294,105.2472
11.6511,104.7339
11.1322,105.2456
11.4614,104.2303
11.2733,104.9067
11.4519,104.74
11.3247,104.7983
12.6858,104.8186
11.4686,105.2733
11.5325,104.5497
11.4569,104.7956
