TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
14.6969,108.2341
14.7285,108.9207
14.4968,108.6929
16.4197,107.2962
17.2819,106.1889
17.4833,106.5375
15.2065,108.7254
17.0056,107.0833
21.0833,106.6167
9.2588,105.8702
16.9946,107.0101
11.0769,106.8282
16.3585,107.5107
17.7694,106.3028
10.7388,106.486
13.6706,107.6144
17.3417,105.1722
14.2382,109.194
15.7683,108.388
19.5667,104.7833
16.9941,106.9659
16.6519,106.6193
10.1286,106.4667
11.2398,106.8109
15.3776,108.5075
16.2522,107.2381
15.9953,108.0601
16.9344,106.9719
17.6917,106.4972
18.4569,105.9472
11.719,106.6387
21.5175,106.1208
11.2022,108.0098
16.0405,108.0622
13.5618,107.6492
17.8833,106.4333
13.6688,107.6134
18.2833,105.8528
19.3761,104.2183
18.5339,105.6861
16.3083,107.025
10.534,106.5828
10.6543,107.4242
17.75,106.4667
11.2398,106.8109
10.8198,106.8906
16.9885,107.0729
10.9018,106.2425
18.4753,105.7578
15.9135,107.4752
17.325,106.2
11.0945,108.3659
19.9681,105.8375
19.1833,104.6
11.1692,106.0788
21.0167,107.25
14.1254,108.9921
20.9542,106.2958
19.3667,104.2333
15.6976,108.2938
18.8306,105.6931
17.3769,105.7372
13.1049,109.0938
15.8319,106.7681
19.8214,105.7978
15.5278,108.3715
19.5833,105.65
19.4667,105.8
16.8395,106.97
16.5588,106.7366
17.7525,106.3611
14.8402,108.9847
14.5983,108.9155
15.8947,108.307
11.0662,107.0871
10.7917,106.8941
16.5208,107.2983
16.9929,106.9941
18.8917,105.6042
10.138,106.1418
16.284,107.6173
17.8833,106.35
17.5333,106.5167
15.2065,108.7254
17.0154,107.3446
17.5167,106.4667
17.6167,106.2333
16.9537,107.0331
11.1692,106.0788
17.475,106.5292
11.3379,106.1747
17.0611,107.0194
14.725,106.9889
11.6094,108.6737
10.7314,107.373
16.669,106.8407
17.85,106.1333
16.9204,107.0159
16.6763,106.8333
15.807,107.3862
14.3584,109.0818
21.0303,105.5417
14.3818,109.0631
21.1828,102.8139
17.9667,106.2333
17.2833,106.8
11.2558,107.5765
14.489,108.8238
10.676,107.4253
16.8449,106.8818
20.8883,106.5236
20.3297,106.0828
16.6914,106.6515
19.9,105.5903
15.7181,107.9345
13.2459,109.0955
16.4532,107.4417
17.1972,106.8139
10.5767,106.5401
15.4778,108.2007
16.8609,106.9082
18.1083,105.7861
14.4961,108.7068
9.0417,105.3747
15.7111,107.9222
15.3632,108.5914
15.8596,108.3915
18.7083,105.8056
20.8333,107.0833
21.3375,106.2567
17.25,106.1764
16.8449,106.8818
19.9125,106.0097
17.7833,106.2542
17.0293,107.0593
19.4833,104.5806
16.8632,106.8585
15.5635,108.2592
11.5989,106.2638
16.4369,107.4527
11.829,106.6853
20.9333,106.3528
17.025,106.9444
16.9821,107.0832
20.9508,109.3264
10.5371,106.687
13.363,109.0457
11.0753,106.8044
17.0361,106.9861
15.4842,108.3497
13.7835,107.5705
17.9839,106.9508
17.7236,106.4533
15.3435,108.3729
15.725,108.1088
16.9552,106.9702
20.7667,105.0817
18.1667,105.7028
14.7052,108.947
15.0698,107.7102
17.0333,106.8333
15.9425,107.624
17.9417,106.4778
17.6167,106.5167
11.3037,106.5255
10.1286,106.4667
15.8396,108.3805
13.5576,107.7018
16.9956,106.996
19.7842,105.7861
16.163,108.1062
17.1064,106.0422
16.8698,106.9187
17.0683,106.9545
16.2667,107.1167
13.186,109.0591
14.3821,108.9972
19.4208,104.15
15.2933,108.65
16.9409,106.9504
20.0986,103.9014
21.7639,105.3061
13.5252,108.311
10.7467,107.5136
15.6511,108.1863
16.045,108.0612
14.5042,107.635
14.6761,108.3875
16.906,106.9209
16.2556,107.0444
17.0917,106.9736
16.5943,106.9168
16.4983,107.372
17.2083,106.675
16.9563,107.0463
16.9729,107.0089
14.9342,108.7914
16.7997,106.7838
13.5188,109.3336
17.6319,106.3847
15.1972,108.5282
16.9659,106.9816
16.9929,106.9941
11.124,107.2221
14.5835,108.7811
16.9393,107.0217
16.9741,106.9779
18.0858,105.8003
17.0,106.9583
17.1444,106.7611
16.3069,107.5147
15.9129,107.9531
12.4112,108.6972
10.3478,106.1535
15.5088,108.3708
14.263,109.1225
11.3157,106.0692
17.0417,106.9
15.9555,107.9426
16.9554,106.9515
14.1958,108.9757
15.2057,108.7365
17.5333,106.4667
12.0539,107.4462
20.5583,105.9292
21.1317,105.8681
14.04,108.4606
17.2458,106.8139
13.8649,107.6045
20.9444,106.3139
14.4637,108.8166
21.4917,105.8831
11.4126,106.79
13.6761,108.5736
17.8833,105.8
13.7026,107.6591
17.2786,106.1878
16.5141,107.2476
17.6333,106.4167
20.9489,106.3361
21.3083,105.6069
14.6999,108.9583
16.879,106.9075
13.4213,108.9307
21.2511,106.1083
13.7153,107.9013
16.2184,107.277
19.4292,104.1333
17.6197,106.475
16.9833,106.975
16.9303,107.0207
14.7782,108.8172
20.9264,105.8458
15.537,108.24
11.0502,106.5928
16.1161,107.6833
18.1772,106.2167
17.7583,106.4194
15.5351,108.159
13.965,107.7028
16.2281,107.7568
17.0694,107.1042
18.2175,106.0861
10.1881,106.0379
17.0264,107.1
17.2,106.8133
19.7,105.85
21.9281,104.6417
14.4586,108.9576
15.5548,108.2192
21.5061,106.3558
16.3029,107.1395
15.5142,108.3661
17.8167,106.1833
16.7088,106.7323
15.7167,106.9
21.4278,105.1569
16.9398,106.9766
14.0099,108.907
14.7025,108.9488
15.625,108.1987
17.0278,106.9069
15.8704,107.7584
14.8456,108.6939
15.5051,108.3643
21.3272,105.8725
20.9783,106.2903
20.4431,106.5167
16.9956,106.9923
16.9825,106.9527
9.4561,105.0863
21.0289,105.5044
9.7887,105.4621
14.8671,108.9566
17.7833,106.05
17.4,106.6333
20.3792,104.2839
16.4769,107.4317
11.2278,106.5187
11.3145,106.5411
14.143,108.5465
14.6333,107.4
17.075,106.9833
16.841,106.9071
10.3543,106.096
16.5621,107.3194
11.1074,106.865
