TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
17.5636,105.7567
16.3019,106.655
16.0914,106.7419
14.9697,107.1856
14.7411,107.0978
19.165,102.94
16.5358,106.8744
19.5575,103.4192
16.2475,106.8753
12.6214,103.7394
16.3525,107.1533
17.6403,105.7636
16.0756,106.1828
16.3144,106.8817
17.2372,106.0797
19.5022,102.8767
15.7425,106.8819
16.3594,107.1861
19.4083,103.0328
15.9631,106.4017
16.2611,106.7772
13.1247,109.2183
16.6914,106.1417
19.2322,103.04
16.6314,106.4442
16.0119,106.2011
14.9606,108.5386
12.1714,105.1433
16.7317,106.4656
11.7717,105.0322
16.2475,106.8753
14.5969,106.5803
16.9469,105.9892
16.2947,106.9608
19.3464,103.0692
19.2939,103.1469
14.6886,107.34
17.6619,105.7656
16.8378,106.5436
14.5028,108.0986
19.2314,103.4253
15.005,107.1839
11.4131,104.4444
16.3142,107.3681
16.4061,106.4967
16.7139,106.4372
14.6881,107.3394
15.1964,106.2522
15.6594,106.7636
19.4078,102.9961
16.2219,106.9172
16.6969,106.2428
17.4297,105.7639
16.3386,106.5731
14.6811,106.7853
16.1228,106.5525
19.0175,103.4519
16.595,106.4297
16.9736,106.3883
16.2978,106.5978
16.4897,106.6642
14.9658,106.2528
19.3319,102.9275
15.9983,107.4186
16.4064,106.4378
19.4556,103.2344
16.4039,107.1614
16.2956,106.1028
11.1744,104.1692
14.8419,108.6097
12.1406,105.1967
12.4306,105.4611
16.8642,106.2636
16.4897,106.6642
16.5325,106.0536
14.6911,107.32
16.7239,106.5358
16.6314,106.4442
17.0556,105.9369
16.7336,106.4542
19.3617,103.0756
11.3767,105.6692
14.7206,107.3306
14.6314,106.6975
16.2344,106.8247
15.6322,106.8844
16.6811,105.47
12.3883,105.2133
14.6714,106.7786
16.6125,106.4597
15.8425,106.6858
16.3028,107.0753
15.3506,107.0311
14.6367,106.7114
16.2406,106.5208
19.4556,103.2356
11.7697,105.0836
12.2897,106.0356
18.0869,104.5161
16.3744,106.5125
16.7336,106.4569
14.6881,107.3394
14.6714,106.7786
16.3044,107.3381
15.5667,106.9183
17.3189,105.6306
14.6367,106.7114
16.2958,107.3867
16.2372,106.9369
16.8017,106.1028
16.2889,106.5631
17.0672,105.8028
16.75,105.9572
16.7447,106.4103
16.8189,106.2597
16.725,106.53
11.6794,105.1339
16.2344,106.8247
12.2736,106.0236
16.7247,106.5358
14.7411,107.2825
16.3575,107.0206
16.7767,106.2714
11.1719,105.2336
15.3947,107.0425
15.1711,106.2317
15.7281,106.7519
14.6881,107.3394
12.2692,105.1408
17.2506,106.1619
16.28,105.9642
16.0058,106.6011
16.4875,106.3661
16.6706,106.4386
16.7586,106.5089
16.5542,106.0686
16.7239,106.5358
16.6203,106.5097
17.2892,105.6108
12.0189,106.5297
11.3594,104.065
19.5169,102.9033
16.5731,105.9197
16.7239,106.5358
16.215,106.8983
13.7783,105.9836
11.9994,105.7772
16.7381,106.4569
15.3742,107.3944
16.7425,106.4886
17.2642,106.1667
14.6467,107.4114
11.9375,105.5731
11.2036,104.2058
16.7136,107.195
16.8394,106.0061
15.4422,107.4558
15.1989,106.1358
17.4044,105.7589
11.1231,103.9036
11.755,103.1644
16.5453,106.8511
19.5828,103.3361
19.2978,103.0242
19.7239,103.2478
16.7394,106.4992
11.3506,104.0742
19.5022,102.8767
17.1756,105.6564
16.6706,105.9483
16.2344,106.8247
16.4833,106.4597
11.3767,105.6692
15.3375,107.1864
16.7489,106.6017
16.0439,106.1872
16.2733,106.7211
16.675,105.3461
15.4178,107.3697
16.9969,106.2478
17.2775,106.1836
19.3972,102.325
16.6633,106.4247
17.2847,105.6108
19.4097,103.0047
16.5092,106.8367
16.9711,106.9219
12.8144,104.9189
16.4897,106.6642
15.1494,107.0878
16.2808,105.9717
15.3581,108.5469
16.7917,106.2669
17.2775,106.1836
19.7572,103.3219
14.8653,107.2261
16.2381,106.82
16.0964,106.17
10.915,104.7436
17.19,106.1558
16.6219,105.2953
16.5578,107.3767
14.4628,107.2853
16.4714,106.4831
15.3597,107.0406
19.6078,103.1167
16.3342,107.2636
16.4897,106.6642
14.6375,106.7114
15.7056,106.7472
14.4539,106.4708
16.6542,106.4217
15.8089,106.8019
16.2367,107.1831
16.2378,106.8622
14.6553,107.3781
16.3358,106.0206
14.6481,106.7017
12.0336,105.8536
12.1122,106.1019
16.4714,106.4831
16.7469,106.49
16.7697,106.4647
15.1736,107.2156
16.8108,106.5261
16.6511,106.205
16.4778,106.4522
15.9714,106.2244
19.5211,102.8783
17.6619,105.7656
11.7906,105.3075
19.595,103.2778
15.4422,107.4558
16.4536,106.9681
19.2981,102.9489
16.6669,105.3331
14.6081,106.6453
12.4269,105.4647
16.8058,106.025
11.6675,105.1219
16.55,106.3244
16.6425,106.4311
16.3108,107.2522
12.0189,106.5297
19.2422,103.1303
15.8006,106.7508
16.7808,106.5464
16.3028,107.0678
15.9706,106.6167
15.5775,106.3011
14.6881,107.3394
16.6806,105.9444
16.5247,106.0067
16.1489,106.6978
16.2194,107.4175
15.5531,106.9239
16.5656,107.3336
16.7281,106.4869
16.2344,106.8247
16.5794,106.2361
16.1761,106.5381
17.1108,106.0847
12.2381,105.4672
16.0489,106.7764
16.55,106.3244
12.2136,105.3044
17.1581,106.0672
19.6017,103.3064
16.2428,107.2739
15.4467,106.9994
15.9906,106.6047
15.2303,106.1828
14.8997,107.1317
14.6883,107.3219
16.3142,107.3589
15.3958,107.0267
15.9983,107.4186
19.4033,103.0
12.0556,106.4425
16.7294,106.5228
17.2894,106.1839
16.0567,106.1453
16.4961,106.4272
12.0681,105.3289
15.4528,107.4886
