TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
12.285,105.4692
16.3978,106.0919
14.8328,107.1514
16.725,106.4072
17.1908,105.7994
19.3603,103.1033
16.9556,105.8764
16.7933,105.9544
19.5867,103.6717
17.0908,105.7425
14.6794,107.3283
16.6672,106.0119
19.2414,102.9867
16.23,106.7031
12.7058,104.9964
17.4114,105.6119
16.9569,106.3708
16.6389,106.4161
14.2656,106.3683
11.5219,105.0881
15.3756,107.0389
11.1169,106.9286
17.4336,105.7253
16.8767,105.9203
16.7058,106.4325
11.0778,105.2456
19.3856,103.0239
11.9203,105.5906
16.7222,106.5414
15.7369,106.7614
16.8767,105.9417
19.2497,103.0
19.2525,102.9933
19.6214,103.6008
16.2792,105.9642
17.1839,106.8658
16.6658,106.4331
14.2647,106.3722
16.5697,105.8625
17.2686,106.1875
12.4031,107.2078
16.9556,106.3761
16.0975,106.6656
16.7094,106.4089
17.1361,106.0664
14.5031,107.0111
19.3883,103.0219
16.3639,106.4833
16.3478,107.1092
16.7308,106.4747
16.7697,106.1506
16.9022,106.3803
15.8133,107.7028
16.8819,106.5539
16.7642,106.7997
16.8925,106.5522
15.5261,107.6283
14.9642,107.1853
14.9756,107.1411
16.9094,105.9625
16.7472,106.1617
14.8792,107.1939
16.3392,107.2225
12.2939,105.5611
15.7372,106.7408
16.9844,105.9197
16.6472,106.3889
16.8089,106.5172
17.1381,106.0814
17.5372,105.7708
14.8964,107.2014
16.7397,106.4853
16.7392,106.2697
19.3928,103.0278
16.9356,106.4039
17.21,106.1636
16.6381,106.5567
16.6619,106.0167
14.6469,106.8936
17.3528,105.4661
12.5914,105.8564
17.4489,105.7411
16.7467,106.2714
15.9142,106.665
16.8875,105.9522
16.75,106.1392
16.4581,106.5589
19.5864,103.0519
14.5347,108.0519
16.3575,106.1686
16.9014,106.3728
17.3611,105.7014
16.6494,106.1958
12.8425,105.6775
15.1722,107.0822
14.3978,106.3406
15.7136,106.8528
17.395,105.7339
19.4408,103.2053
17.2489,106.1533
15.1114,107.1003
17.1028,105.9167
12.3597,106.5317
15.9342,108.0136
15.0878,107.115
17.3458,105.7003
15.7436,106.7317
15.4858,106.9606
15.8339,106.8567
14.5594,106.4992
15.1844,106.2894
19.4778,103.2086
16.7386,106.2525
15.9858,106.7431
15.4525,106.9714
16.9844,105.9197
19.1189,102.9292
15.1667,108.7083
15.5261,107.6283
16.7333,106.4936
16.8072,106.5064
16.6381,106.5567
16.6603,106.3467
12.9144,109.2744
19.3706,102.9881
16.7181,106.0025
16.6828,106.0178
16.6808,106.0356
16.8572,106.2064
16.9092,105.9617
13.9933,107.8439
14.1072,107.9994
16.9092,105.9617
16.6183,106.1111
16.5867,105.9292
17.4842,105.7019
16.6683,106.1836
16.7342,106.4936
17.4514,105.7347
12.1719,105.7997
12.6519,106.7986
10.9006,104.1378
12.2653,106.6019
16.9411,105.6717
17.0678,106.0497
12.4792,106.6794
16.04,106.7575
15.7333,106.5403
16.9611,106.3714
15.5972,106.8311
11.8558,105.0111
16.5844,106.2714
12.1522,106.0506
16.8028,106.8347
16.7261,106.4814
16.2458,106.8733
13.4617,109.3278
12.3525,105.5906
15.5644,106.8792
17.4361,105.73
17.3944,105.7344
16.9136,105.7589
17.5131,105.7272
11.755,103.1644
17.4542,105.7206
12.2797,106.0172
16.7439,106.5247
17.1472,106.0625
19.2097,103.0564
15.6192,106.8331
17.2775,106.1836
16.4856,105.595
16.6892,105.9942
17.0203,105.9603
