TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
19.6022,103.5972
11.755,103.1644
17.5106,105.7261
16.3975,107.0811
16.1344,106.5497
10.6903,107.4294
16.7097,106.0761
17.1867,106.1311
16.7097,106.0761
11.7133,106.1197
17.1819,106.0817
16.8761,106.3272
16.6517,106.0878
14.8469,106.7289
17.1911,106.0689
10.8808,107.0869
12.0522,105.5844
16.7406,106.0556
11.7317,106.0372
17.4878,105.7075
9.7475,105.7594
15.3861,107.5325
18.4275,104.4953
17.1856,106.0664
19.5083,102.9386
14.5681,108.0367
16.8839,106.3239
11.6819,106.0433
16.6389,106.4189
12.0508,105.3153
14.2186,107.4669
16.7189,106.0564
19.4056,103.0267
16.8842,106.3247
15.8175,106.7583
20.6439,102.6656
16.89,106.5539
14.8536,106.7142
11.1281,107.8967
16.8022,106.175
19.4006,103.2617
12.4658,107.9053
15.1586,108.0956
17.1844,106.0806
12.0536,105.2994
17.1814,106.075
15.41,106.3664
16.4297,107.3583
17.19,106.0675
19.8406,103.0928
17.1819,106.0817
17.6528,105.3139
17.5111,105.7414
17.1819,106.0817
15.32,106.7067
17.4064,105.7439
17.5175,105.7303
13.6083,107.3414
10.2319,104.6108
14.6831,106.7881
16.5369,107.0486
17.5175,105.7331
16.5858,106.2375
10.7575,107.1731
10.7017,106.8197
14.7972,106.8633
16.8792,106.3192
14.6214,107.4975
14.8597,106.7225
17.5519,105.7408
17.2414,106.1492
15.9947,106.0656
16.8919,106.5539
17.1833,106.0725
12.3728,106.5997
19.5611,103.4172
17.5014,105.7256
12.5497,106.7822
17.185,106.12
9.8158,105.3511
16.7928,106.2697
11.7453,106.0325
16.8919,106.5539
15.4158,106.8267
17.0114,105.9461
11.6953,107.3278
16.5858,106.2394
12.4106,107.3733
15.3861,107.5325
17.5661,105.755
19.5925,103.1081
17.5103,105.735
17.2503,106.1617
17.5111,105.7386
17.1811,106.0644
12.56,106.7583
16.8819,106.3192
12.6167,106.9289
16.6953,106.0003
20.2231,102.2864
20.2253,102.3092
17.1836,106.0731
12.52,106.7636
11.9111,107.2239
11.755,103.1644
19.5033,103.3342
15.3767,108.5094
15.2139,108.0125
11.6169,106.0239
14.9603,106.8078
15.8503,106.7381
10.9528,107.8183
15.945,106.7428
15.8428,106.7558
17.5003,105.7217
17.1872,106.0656
19.3892,103.1867
17.5111,105.7386
16.8856,106.5736
16.8769,106.295
16.7347,106.2686
11.2578,106.0839
17.1942,106.0711
12.0536,105.2994
14.6914,107.32
17.1842,106.075
19.4553,103.2089
19.2036,103.1631
16.8761,106.0233
17.1811,106.075
12.0744,105.2775
11.2111,106.7836
13.5608,106.4411
