TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
20.055,105.99
11.1753,105.3958
17.9389,106.4808
19.2842,105.4817
18.7756,105.7536
21.17,105.8478
17.9906,106.4783
18.3797,105.8536
20.9997,106.1903
18.7672,105.7867
17.1694,106.7725
10.1131,106.2825
21.5561,105.8306
13.8442,107.9281
15.5622,108.0908
16.7578,107.1908
19.2631,103.9428
20.635,106.6039
17.4131,106.61
11.6719,106.6708
19.1103,105.7131
16.6936,107.1197
17.6783,106.4239
11.2642,105.7522
16.7933,107.1667
16.6336,107.0486
10.4972,104.9042
20.8492,107.3444
20.9506,107.0747
16.8189,107.0414
19.4775,103.2733
17.7128,106.4486
13.6378,107.8794
17.4219,106.6178
19.3992,105.7897
17.4944,106.5939
19.5725,105.78
10.5778,104.8136
10.7003,107.0803
20.8386,106.6822
11.245,105.3719
18.3611,105.6139
19.8106,105.7711
10.7233,106.4853
17.2269,106.7064
16.7992,107.21
19.3236,103.2369
19.6022,103.09
18.965,105.5814
10.7217,106.4825
16.7172,107.1761
12.2372,106.1375
17.4969,106.5033
15.0,108.8711
14.3078,108.9814
10.585,104.8656
20.8572,106.1633
17.9397,106.5203
16.775,107.1064
19.5533,105.6578
11.2617,106.6253
16.5122,106.9958
18.9008,105.1642
18.7928,105.7422
10.5778,104.8136
19.0811,105.5919
15.8567,108.1631
14.6533,107.8533
17.705,106.49
21.0628,107.0383
15.8394,108.0917
17.4583,106.5681
17.9517,106.4658
20.1778,105.9083
19.3686,105.9322
11.1839,106.2722
10.4947,105.9431
18.0725,105.7314
17.2497,106.7919
19.1933,105.6869
18.4267,105.8008
10.6428,107.1347
20.0831,107.3394
19.2331,105.7556
19.2689,105.705
18.2881,105.6483
19.3006,105.5636
19.4297,103.0092
20.9111,107.3453
11.3875,106.6022
21.6694,104.4903
17.6594,106.5181
17.2511,106.7403
17.06,106.9733
15.8839,108.1794
9.6714,104.8978
10.2342,106.2894
18.8069,105.6008
17.5258,106.485
19.5339,103.2042
9.635,105.465
19.5103,105.7969
19.6311,105.8233
18.8011,105.73
16.82,107.0178
18.9706,105.5872
16.815,106.9992
21.2206,105.8097
18.6647,105.7161
14.7539,108.7267
17.9289,106.5069
15.1544,108.7614
18.7839,105.7478
18.7811,105.7489
17.2081,106.7861
16.6642,106.4331
19.3719,105.7619
19.3244,105.7178
15.8642,108.2469
19.8189,105.7756
12.2575,105.9675
19.6217,105.7564
14.9397,108.8875
21.0081,107.2458
17.32,106.7128
19.6036,103.52
16.8119,107.105
19.4819,105.7972
13.2997,109.0336
17.0422,107.0278
17.7097,106.4431
18.2292,106.0417
21.1675,105.0664
13.9497,107.9369
18.5781,105.6247
10.2939,106.2586
18.3369,106.0375
18.2536,105.6331
