TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
11.6957,106.0147
17.2236,106.1383
11.3416,107.1276
15.229,108.4636
10.8014,106.7881
17.0194,106.9639
8.9169,105.3273
21.1694,102.7639
16.6546,106.7318
16.9028,106.5556
11.7897,108.9639
17.3069,105.7375
16.9365,107.0301
17.1,105.5833
13.9998,108.598
11.0997,106.4567
11.6545,106.1384
14.0542,107.3826
17.5778,105.3097
11.0615,107.1072
17.3833,106.65
18.8058,105.7053
15.2217,108.8974
19.15,106.9569
14.6851,108.9128
17.0333,105.0167
14.8537,108.8712
16.7809,106.763
14.1286,107.5288
14.0708,108.6014
15.7304,108.1031
17.85,105.8167
14.6486,107.325
11.7142,106.1405
14.9607,108.7298
17.0583,107.0167
14.8519,108.9781
19.1014,105.6708
17.0403,105.9639
17.0333,106.8611
16.6712,106.6973
8.9368,105.3273
11.7269,106.1387
16.9254,106.9709
11.475,107.9907
14.2234,108.4613
11.7268,106.1672
17.0,106.9172
15.1141,108.6175
15.7164,108.4334
10.1942,106.5446
21.0833,104.7
15.675,106.8
14.8035,108.8206
14.8997,108.6775
20.85,102.45
17.1972,105.8125
14.6851,108.9128
14.0415,107.389
10.6699,107.1465
10.602,106.7193
19.4708,104.0833
19.438,108.759
16.7105,106.9564
14.8152,108.7258
14.3959,108.9155
14.2664,108.9853
13.4885,108.9089
14.6694,107.3319
16.7333,106.1333
17.0708,107.0992
16.9667,105.9833
17.1444,106.9106
14.0489,107.3761
14.6917,107.1722
19.15,106.9569
11.5621,106.1912
17.1222,106.0542
9.4325,105.8461
14.239,108.954
14.484,109.0761
16.7096,106.9546
10.7625,107.0914
16.6707,106.957
11.2653,108.0796
17.8833,105.8167
16.4649,107.293
17.4131,105.7292
16.4367,107.3113
14.86,108.978
9.5733,105.5311
16.8722,106.95
16.868,106.9262
12.0283,106.9196
19.7583,106.0139
17.0833,106.8833
16.6444,106.2
17.6667,105.7717
17.225,106.1417
11.9683,106.6733
16.6762,106.9495
16.8201,106.9247
15.1399,108.6703
10.1475,106.2696
14.126,107.526
17.8417,105.8
17.3261,106.6289
14.8983,109.1171
14.9745,108.6646
16.8833,106.0167
14.9115,108.7815
11.1067,107.1076
15.5954,108.215
19.833,103.775
17.0667,106.6667
20.1919,103.8942
17.2417,106.8083
15.4579,108.4199
16.303,107.0441
10.5577,105.3215
16.7389,106.1028
16.9908,106.9608
18.2333,106.0167
16.5917,106.0833
11.7286,106.1516
18.0167,106.4167
16.715,106.9584
16.6987,106.9573
14.1716,107.4829
17.1033,107.0867
17.8333,105.8
20.5833,107.1333
10.5181,106.8413
15.7347,108.1571
17.2208,106.6417
17.2889,105.7639
9.6385,105.4747
16.818,107.223
15.7642,108.001
17.3,105.3333
15.1849,108.7386
10.5097,106.9006
11.739,106.4498
14.1144,108.8718
21.25,104.7
17.8,105.7917
11.2693,106.5473
17.3083,105.7333
13.579,108.9266
15.936,108.2859
11.5666,106.1913
17.3333,106.2167
15.1849,108.7386
14.5393,108.8873
15.5207,108.3818
14.1417,108.515
16.7228,106.9847
14.771,108.8256
16.4351,107.2879
14.0093,107.4507
19.8083,105.7681
11.2413,106.5261
21.3056,105.6347
17.3167,105.7167
14.6917,107.1722
14.0408,107.3742
17.7083,105.7717
16.6944,106.9385
14.9107,108.787
9.7961,105.3554
18.2389,106.0167
17.7083,105.7717
11.2718,107.0273
16.2444,106.8
17.0167,105.7417
17.7083,106.0883
20.5333,104.15
19.4708,104.0833
14.7319,107.2403
16.8568,106.8613
11.6078,106.0749
14.8189,108.9264
17.8333,105.8
9.5751,105.5511
11.7399,106.0433
14.6472,106.2
11.6708,106.1532
9.683,105.3535
16.8652,106.928
17.5819,106.2861
17.7667,105.8
10.9627,106.1641
15.483,108.4056
15.2481,108.7361
11.2798,107.172
19.5028,103.9722
14.658,107.342
15.5981,108.2112
14.6597,107.3361
13.8991,108.5593
17.1083,105.7167
16.65,106.2167
17.195,106.8258
17.7083,105.7717
12.3497,108.9091
16.704,106.7745
14.9149,108.9459
17.8333,105.8
10.0138,105.9297
19.4708,104.0833
14.0233,107.3999
18.0278,106.2028
16.7418,106.893
17.5817,105.3078
17.55,105.717
14.8389,108.6549
11.0904,106.517
20.6364,106.7031
14.1152,108.8598
17.8667,105.8167
17.3,105.7333
11.7029,106.2432
13.5242,109.0776
19.6,103.7583
16.8167,105.9667
9.9091,105.4103
21.1833,102.8167
14.8371,108.9429
15.5383,108.3434
14.8324,108.8194
17.305,105.351
14.7171,108.9599
16.4765,107.3858
18.6306,105.8125
14.1252,107.4223
9.9091,105.4103
10.1929,106.4369
15.292,108.2935
14.1864,107.535
15.1701,108.4494
16.46,107.3285
17.1111,105.9056
14.1521,107.3985
17.2833,105.7167
17.0333,106.8694
16.8542,105.9528
17.35,105.7167
15.1589,108.5863
17.1,107.0333
17.3167,105.3667
14.8398,108.9401
17.3261,106.6289
16.7833,106.1
17.0819,107.0356
18.2389,106.0178
11.0825,106.7288
11.7067,106.2038
11.6562,106.1834
17.3833,106.6583
16.8219,106.8215
16.7193,106.9715
17.3244,105.3564
17.7083,105.7717
15.6757,108.2083
18.175,104.9917
10.1064,106.7431
9.7526,105.3554
11.6957,106.0147
14.9874,108.6849
20.3833,104.2833
14.8299,108.9365
16.946,106.9833
15.5954,108.215
16.9426,106.9635
17.1961,106.6967
16.7167,106.1667
17.9494,105.8028
15.6038,108.0285
11.6049,106.1061
14.8196,109.0072
19.5839,105.8
14.126,107.526
15.3667,107.0347
14.7042,107.1833
14.806,108.8986
15.3667,107.0347
15.3833,107.05
17.4253,105.7339
12.4693,108.1541
17.9167,107.0
11.6267,107.0793
17.1875,106.7967
14.7389,107.2708
20.3819,104.2736
21.2167,102.5167
14.4502,108.8204
16.5667,106.0667
10.519,106.8422
17.0583,107.0389
11.651,106.11
16.9226,106.9736
16.7508,106.894
20.1736,103.8139
11.7361,106.0837
16.8751,106.9375
16.7166,106.9753
14.113,107.3795
14.6878,108.225
17.055,106.9772
14.2568,108.4573
14.9254,108.6354
11.7176,106.1855
16.0667,106.675
14.5544,108.0273
10.519,106.8422
17.8472,105.8
17.2333,105.7333
15.56,108.1307
14.6556,107.3486
14.0992,107.4886
19.55,105.8
15.821,108.0589
15.8453,108.3357
16.7607,106.9945
11.6049,106.1061
16.6975,106.991
14.0207,107.4795
11.5339,106.2333
16.9226,106.9793
15.1162,108.6426
16.6768,106.9777
18.3014,105.6472
20.95,104.7
13.6503,107.7389
16.5333,106.35
11.6171,106.0007
14.1237,108.0348
14.0992,108.8812
14.7969,108.8894
17.0667,107.1167
14.8519,108.9781
16.8833,105.9333
11.7361,106.0864
16.3291,107.3138
11.6087,106.0557
16.7048,106.977
16.8192,106.8253
21.9,104.6667
17.3333,106.2
14.8806,107.1861
14.6898,109.039
15.6958,108.1521
13.7398,107.7306
11.7115,106.1331
10.6681,107.1465
15.7083,106.7625
9.2164,104.8468
11.3777,105.9054
16.5084,107.4377
10.8207,106.8916
11.2718,107.0273
15.7125,106.7583
11.7089,106.1166
16.8532,106.8594
19.5,103.3333
14.8582,108.9734
15.0972,107.15
19.3333,105.8194
14.796,108.8932
12.3709,108.0771
10.3413,106.1982
20.85,102.45
17.7917,105.7861
16.9,106.0083
16.9226,106.9793
16.0083,106.7167
17.3261,106.6289
14.1272,107.4056
16.5931,106.2153
11.027,107.4867
14.0598,107.3707
14.8226,108.9366
16.55,106.0667
