TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
16.9025,106.0142
16.4958,106.4711
16.9297,105.99
16.2258,106.6561
19.0261,103.3036
19.5347,103.2128
19.4794,103.1019
14.785,107.5736
17.3297,105.6825
14.8567,108.5342
14.7464,107.0894
16.3086,106.2469
16.6706,106.2869
19.6394,103.7322
19.5994,103.8214
15.115,107.1125
15.3647,107.6019
12.0531,106.9928
16.5211,106.4797
19.7286,103.4539
18.9314,104.1006
19.3825,103.1619
17.1964,105.6122
19.3153,103.4131
16.1078,107.6283
11.3242,106.2217
16.3286,106.5869
17.2019,105.7225
16.3094,106.2639
12.1514,107.7514
19.5239,103.7569
16.2869,106.6089
10.6633,106.8953
16.1525,106.6978
16.8789,106.3322
12.0769,107.0747
19.3364,103.0817
14.6317,107.39
15.6153,106.8311
11.755,103.1644
17.1694,106.0486
11.9475,107.3242
17.2147,106.09
19.6619,103.5853
15.4539,106.6164
16.4489,106.4614
17.2492,106.1225
16.2033,106.6672
19.5861,103.7289
14.3831,108.3653
16.9181,106.0106
19.3656,103.2858
16.325,107.0894
16.3228,106.1656
10.6136,106.3669
19.05,103.6314
19.4994,103.4028
11.8314,106.8911
16.3178,105.9831
13.9728,109.2381
15.4133,107.2664
14.2814,107.6828
19.6547,103.4967
15.4194,106.1594
15.3944,106.6447
12.8192,106.6531
16.4917,106.5414
16.3422,105.955
19.6542,103.5394
19.5869,103.3722
19.5883,103.6239
16.4217,106.5408
11.2714,106.4678
17.0208,106.7053
17.1992,105.6378
17.1939,105.7986
14.1458,108.4808
16.325,106.1478
16.1442,106.6975
15.4358,107.3653
14.7492,107.2881
14.1436,107.8161
18.4711,104.2878
16.0786,106.6483
15.3331,108.8267
16.3644,106.2725
17.2706,105.6286
13.7089,108.3369
19.5767,103.4439
16.4253,106.3264
10.9722,107.5714
16.3147,106.6139
18.4803,105.4272
14.6661,107.7086
16.8372,106.0494
19.4311,103.5567
14.8114,107.1217
19.0328,103.1706
14.5561,108.7472
11.755,103.1644
11.3706,105.9075
16.3097,106.2406
17.0625,106.0339
17.4381,105.7131
17.2572,105.7933
17.5239,105.7481
13.9381,109.1903
12.1258,109.2078
16.3308,106.1703
11.3778,105.9278
15.3758,106.9939
17.4289,105.7761
12.4714,108.3503
16.6508,106.0861
17.5539,105.7408
16.5553,106.8231
16.6197,106.5181
16.8297,106.0842
19.6475,103.5006
11.1644,106.5433
16.1442,106.6975
14.4919,107.0414
19.4992,103.9964
16.7981,106.1028
10.0292,106.2483
19.6153,103.4522
11.5717,108.7989
19.4889,102.9664
19.0106,103.1033
19.3369,103.4158
16.3531,105.9447
16.3297,105.9364
11.6519,106.2947
17.1681,106.075
19.4456,103.1517
18.9444,104.0036
17.1994,105.6386
16.2769,106.9794
19.6403,103.7303
11.7297,106.6583
16.2744,106.9608
16.1992,106.9403
16.6144,105.9564
19.4397,103.2786
11.7353,106.0831
11.2358,108.0197
16.8897,106.0217
19.4211,103.4186
11.3956,108.4897
19.8489,102.9286
10.1278,106.4122
10.5939,106.3511
15.4033,107.5419
11.755,103.1644
16.3617,107.1272
16.9961,106.3981
19.8756,101.0117
19.0094,103.3106
16.7706,106.1164
20.0564,103.5339
17.1319,105.6281
9.4922,105.0547
17.2169,105.7289
17.0047,105.5639
16.2969,107.0217
17.1039,105.6017
18.7242,104.2639
16.6414,106.4675
16.3328,105.8728
16.3178,106.0111
10.9156,106.1531
