TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
16.3925,106.5003
19.51,103.7944
16.0508,107.4772
19.525,103.1536
17.2703,106.1836
16.8442,106.7
19.4003,103.3208
16.3403,107.0231
16.8614,106.5275
15.9647,106.6586
16.3092,106.9675
11.9386,106.1022
19.4161,103.1931
17.215,106.1522
16.7903,106.4753
12.1106,105.7767
12.1631,105.2508
19.5225,103.1719
16.2383,107.6572
17.8761,105.8072
19.5189,103.2453
13.8675,108.8372
16.2853,106.5678
14.6886,107.34
12.1239,105.5422
19.5753,103.2839
16.68,106.9225
13.7294,106.1933
16.8631,106.6747
19.5686,103.1781
19.3967,103.3153
16.6008,105.7464
15.5736,106.2033
15.9692,106.5653
12.3097,105.1075
17.2531,106.1947
12.1239,106.3261
16.3036,106.9667
15.5817,106.3853
16.3083,106.9683
16.5472,106.48
19.5556,103.4117
16.8767,106.5417
16.4889,106.6656
15.7272,107.3333
19.5175,103.2072
16.5719,106.8933
15.4083,107.5644
17.1447,106.0164
14.0022,107.3381
12.0989,104.7739
16.82,106.52
19.6253,103.5339
16.6989,106.8292
11.7064,105.055
10.9192,104.4903
19.5489,103.3544
16.73,106.8903
16.0539,106.5839
16.3956,107.1061
16.2778,106.9569
16.7347,106.8811
16.7744,106.6703
15.4425,107.4558
16.82,106.52
13.495,105.3789
12.3397,105.1242
13.6864,107.2008
17.1069,106.0158
12.3061,105.1186
15.1806,106.1564
12.2583,105.9656
19.6069,103.3006
16.2231,107.1819
15.6525,106.6031
15.7611,107.9606
11.9508,106.1878
16.2878,106.6081
12.2428,106.4289
19.5336,103.2003
17.08,106.3986
17.5375,105.3033
16.4011,107.0931
19.4561,103.2117
17.2525,106.1619
16.3547,106.4758
11.3639,104.3619
16.5367,106.79
12.1486,105.2428
17.2442,106.2097
16.9267,106.5406
16.6597,106.0989
11.5275,105.7308
11.7328,105.0478
16.3028,107.0761
19.4842,103.2114
16.2886,106.9608
15.6989,106.2214
10.9122,107.4814
12.24,105.2392
16.3044,106.9806
16.9269,106.5411
14.5564,107.5664
13.0244,106.1622
16.2931,106.9619
16.9903,106.4053
10.6903,107.0903
17.2442,106.1928
17.1106,106.0106
16.3225,107.1756
12.2481,106.4289
12.1022,105.5469
16.6603,106.4378
16.3067,106.9639
16.9903,106.4053
19.5531,103.4381
19.5083,103.2825
12.2772,105.115
17.1106,106.0106
19.4244,103.2064
16.8261,106.9636
14.8642,107.0803
15.4022,107.2922
19.4408,103.2253
15.4486,107.3919
11.5156,105.3567
16.9903,106.4053
19.4128,103.2025
15.3672,107.5639
16.7364,106.4581
17.2497,106.1608
15.4569,106.0347
15.7653,107.9261
15.4564,107.4925
17.2986,106.1528
16.1578,106.7025
16.8683,106.6753
13.7778,106.2647
19.46,103.2422
16.8344,106.9372
16.7572,106.2808
16.8428,106.9056
17.1725,106.0569
19.5289,103.2547
15.4311,107.4017
14.8664,107.5744
17.2867,106.1714
17.2517,106.1628
11.7278,109.1464
16.6542,106.0683
15.0736,107.135
17.1536,106.0578
16.2164,107.3717
16.7661,106.1656
19.5633,103.3597
15.2372,107.8889
17.2544,106.1194
16.9767,107.0786
16.8683,106.6753
12.3386,105.1858
16.2919,106.9561
14.9561,108.6222
12.3069,105.1186
16.9228,106.5342
11.9553,105.6586
19.6281,103.5378
15.395,107.0278
16.9267,106.5406
16.8464,106.9167
16.3178,106.4633
19.3939,103.22
15.4975,106.0583
17.2167,106.1661
12.1106,105.7767
14.8642,107.0803
16.7092,106.7925
12.5222,104.9686
16.6597,106.0983
13.7747,106.655
11.9631,106.0867
16.7631,106.7311
16.4525,106.9944
12.2944,105.1103
16.7192,106.5853
16.73,106.8903
16.8831,106.5306
13.9833,106.9056
19.4383,103.2281
16.3031,106.9544
15.2319,106.1872
16.78,106.7983
16.3075,107.5494
11.7244,105.0364
12.4617,105.1058
17.1994,106.1081
15.4564,107.4925
17.2144,106.1522
17.2056,106.1628
16.1825,106.5342
17.105,106.0133
16.9228,106.5342
16.7153,106.0394
15.7419,106.8417
11.9386,106.1022
17.635,105.7617
14.9689,107.1678
11.0303,105.565
16.8858,106.5369
16.2886,106.9608
16.3392,106.4789
15.5647,106.1753
16.3169,106.9836
16.3031,106.9544
19.5119,103.1939
16.35,106.9586
16.3036,106.9667
16.3478,106.8931
19.4233,103.1853
16.5331,105.9561
14.8875,108.3964
16.2608,106.9444
16.82,106.52
19.5686,103.1781
19.6325,103.5303
16.8683,106.675
16.35,106.9586
10.9008,107.0953
16.4028,107.1072
12.0294,105.2086
16.7228,106.7881
15.2908,108.4258
16.9903,106.4053
16.2597,106.9419
15.1553,108.4128
16.9903,106.4053
16.3344,106.5467
16.3178,106.4633
19.6333,103.3186
16.3547,106.4758
15.5994,106.4253
12.0767,106.19
16.1103,107.7769
11.7553,105.0322
12.1214,104.6994
15.4564,107.4925
17.0706,106.9817
12.3414,105.125
17.1558,106.1425
15.8908,107.6458
16.3206,107.1811
16.82,106.52
16.5331,105.9561
15.4578,106.965
19.5522,103.4375
16.2886,106.9611
16.3067,106.9639
19.6128,103.5494
19.4125,103.1978
19.5556,103.4117
11.9581,105.6542
16.8775,106.8731
16.9903,106.4053
12.2481,106.4308
16.3197,105.9839
16.5272,106.8275
19.5494,103.3242
19.4458,103.2603
14.1719,107.4553
11.7544,105.0322
11.755,103.1644
16.9525,106.5519
16.6183,106.7628
15.7997,107.3042
16.2886,106.9608
12.1292,105.9017
16.305,106.4819
16.9903,106.4053
16.8806,106.4911
12.0108,105.555
16.7392,106.8811
